,Date,Disciplinary Action,Conviction,_merge
0,2022-03-11,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
1,2022-03-24,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
2,2022-02-18,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
3,2022-01-04,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
4,2022-06-28,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
5,2022-03-09,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
6,2022-06-15,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
7,2022-04-14,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
8,2022-04-04,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
9,2022-08-17,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
10,2022-12-08,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
11,2022-06-29,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
12,2022-08-18,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
13,2022-12-08,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
14,2022-08-30,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
15,2022-04-19,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
16,2022-08-22,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
17,2022-09-21,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
18,2022-10-25,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
19,2022-11-30,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
20,2022-08-12,AMENDED ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,ACCUSATION FILED,both
21,2022-12-09,"AUTOMATIC SUSPENSION ORDER ISSUED-NO PRACTICE, BY OPERATION OF LAW, THE EFFECTIVE DATE OF THE ORDER IS 12/09/2022.",AUTOMATIC SUSPENSION,both
22,2022-11-14,"CANNOT PRACTICE MEDICINE UNTIL COMPLETION OF A CLINICAL COMPETENCE ASSESSMENT PROGRAM, A CLINICAL DIAGNOSTIC EVALUATION, A PSYCHIATRIC EVALUATION, AND A MEDICAL EVALUATION, AND OBTAINING MEDICAL TREATMENT (CONDITION MET). SEVEN YEARS' PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS; PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",TEMPORARY CEASE PRACTICE,both
23,2022-12-14,CEASE PRACTICE ORDER ISSUED - NO PRACTICE ALLOWED.,,left_only
24,2022-12-29,CEASE PRACTICE ORDER ISSUED - NO PRACTICE ALLOWED.,,left_only
25,2022-01-10,CEASE PRACTICE ORDER ISSUED-NO PRACTICE.,CEASE PRACTICE,both
26,2022-03-28,CEASE PRACTICE ORDER ISSUED-NO PRACTICE.,CEASE PRACTICE,both
27,2022-02-07,CEASE PRACTICE ORDER ISSUED-NO PRACTICE.,CEASE PRACTICE,both
28,2022-02-04,"EFFECTIVE 07/17/2020, CASE NO. 800-2016-029031: FOUR YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. EFFECTIVE 02/04/2022, NEW DECISION: EIGHT YEARS PROBATION TO RUN CONCURRENT WITH THE DISCIPLINARY ORDER IN CASE NO. 800-2016-029031, WITH VARIOUS TERMS AND CONDITIONS. SHALL NOT ENGAGE IN THE PRACTICE OF MEDICINE UNTIL COMPLETION OF THE CLINICAL DIAGNOSTIC EVALUATION AND NOTIFIED BY THE BOARD OR ITS DESIGNEE THAT DR. PARSAPOUR IS FIT TO PRACTICE MEDICINE SAFELY. RESTRICTIONS: PROHIBITED FROM PERFORMING SERVICES RELATING TO THE RECOMMENDATION OF MARIJUANA AND FROM RECOMMENDING MARIJUANA; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
29,2022-05-05,"EFFECTIVE 08/18/2017, CASE NO. 09-2013-230441: THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. MARCINKUS IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES. EFFECTIVE 05/05/2022, NEW DECISION EXTENDS PROBATION SEVEN YEARS IN CASE NO. 09-2013-230441 WITH VARIOUS TERMS AND CONDITIONS, AND AN ACTUAL SUSPENSION FOR NINETY (90) DAYS. SUSPENSION BEGINS 05/21/2022 UNTIL 08/18/2022.",,left_only
30,2022-04-08,"EFFECTIVE 08/23/2013, CASE NO. 04 2007-181659: SEVEN YEARS PROBATION WITH ACTUAL SUSPENSION. SUSPENSION SERVED 08/23/13 UNTIL 01/21/14. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE AND SUPERVISING PHYSICIAN ASSISTANTS. EFFECTIVE 04/08/2022, NEW DECISION SUPERSEDES ALL OTHER TERMS AND CONDITIONS IN CASE NO. 04-2007-181659. FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; PROHIBITED FROM EVALUATING ANY PATIENT FOR, OR ISSUING, ANY EMOTIONAL SUPPORT ANIMAL OR MEDICAL CANNABIS RECOMMENDATION; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
31,2022-01-21,"EFFECTIVE 09/04/2020, CASE NO. 800-2017-032412: THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM MAKING OR ISSUING ANY WRITTEN EXCEPTION FROM IMMUNIZATION, OR ANY OTHER WRITTEN STATEMENTS PROVIDING THAT ANY CHILD IS EXEMPT FROM THE REQUIREMENTS OF CHAPTER 1 COMMENCING WITH SECTIONS 120325, 120400, 120405, 120410, AND 120415 OF THE HEALTH AND SAFETY CODE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES. EFFECTIVE 01/21/2022, NEW DECISION SUPERSEDES THE PROBATIONARY ORDER IN CASE NO. 800-2017-032412; FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. SHALL NOT ORDER, PRESCRIBE, DISPENSE, ADMINISTER, FURNISH, OR POSSESS ANY CONTROLLED SUBSTANCES EXCEPT FOR THOSE DRUGS LISTED IN SCHEDULES III, IV AND V; AND SHALL NOT ISSUE AN ORAL OR WRITTEN RECOMMENDATION OR APPROVAL TO A PATIENT OR A PATIENT'S PRIMARY CAREGIVER FOR THE POSSESSION OR CULTIVATION OF MARIJUANA FOR THE PERSONAL MEDICAL PURPOSES OF THE PATIENT. RESTRICTIONS: PROHIBITED FROM MAKING OR ISSUING ANY WRITTEN EXEMPTION FROM IMMUNIZATION, OR ANY OTHER WRITTEN STATEMENTS PROVIDING THAT ANY CHILD IS EXEMPT FROM THE REQUIREMENTS; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
32,2022-03-11,"EFFECTIVE 10/18/2018, CASE NO. 800-2017-038264: EIGHT YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE, SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES. EFFECTIVE 03/11/2022, NEW DECISION EXTENDS PROBATION ONE ADDITIONAL YEAR WITH THE SAME TERMS AND CONDITIONS AS THE CURRENT PROBATION.",8 YR PROBATION,both
33,2022-01-13,EXTENDS PROBATION FOR SEVEN YEARS WITH VARIOUS TERMS AND CONDITIONS.,,left_only
34,2022-02-17,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS.,,left_only
35,2022-09-23,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS.,,left_only
36,2022-08-26,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS.,,left_only
37,2022-03-18,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. AHMAD IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
38,2022-09-29,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. BABAALI IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
39,2022-06-17,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. FRISOLI IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
40,2022-03-02,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. GUPTA IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
41,2022-03-03,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. HAKALA IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
42,2022-02-25,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. JAZAYERI IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
43,2022-03-04,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. LE IS PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE.",,left_only
44,2022-09-30,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. MACMURRAY IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
45,2022-04-08,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. MCKENZIE IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
46,2022-01-12,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. NGUYEN IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
47,2022-08-12,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. PALLAS IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
48,2022-04-22,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. PREIKSAITIS IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
49,2022-02-11,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. SAAL IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
50,2022-04-29,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. SAUNDERS IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
51,2022-03-18,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN CONCIERGE SERVICE PRACTICE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
52,2022-08-24,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
53,2022-01-13,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
54,2022-10-20,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
55,2022-07-07,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
56,2022-09-29,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
57,2022-10-13,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
58,2022-02-25,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; PROHIBITED FROM PERFORMING STRABISMUS SURGERIES; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
59,2022-07-01,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
60,2022-09-16,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ISSUING AN ORAL OR WRITTEN RECOMMENDATION OR APPROVAL TO A PATIENT OR A PATIENT'S PRIMARY CAREGIVER FOR THE POSSESSION OR CULTIVATION OF MARIJUANA FOR THE PERSONAL MEDICAL PURPOSES OF THE PATIENT; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
61,2022-09-23,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ORDERING, PRESCRIBING, DISPENSING, ADMINISTERING, FURNISHING OR POSSESSING ANY CONTROLLED SUBSTANCES EXCEPT FOR THOSE DRUGS LISTED IN SCHEDULES III, IV, AND V (THIS RESTRICTION SHALL NOT APPLY TO CONTROLLED SUBSTANCES ADMINISTERED TO PATIENTS WHO ARE ADMITTED TO THE HOSPITAL AND ONLY FOR THEIR IMMEDIATE USE WHILE THEY REMAIN SO ADMITTED), AND FROM ISSUING AN ORAL OR WRITTEN RECOMMENDATION OR APPROVAL TO POSSES OR CULTIVATE MARIJUANA; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
62,2022-02-04,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM PERFORMING COSMETIC PROCEDURES WITH A FRACTIONATED CO2 LASER AND FROM DELEGATING THE USE OF A FRACTIONATED CO2 LASER OR A MULTIWAVE LOCKED SYSTEM (MLS) LASER; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
63,2022-05-20,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM PERFORMING COSMETIC SURGERY OR COSMETIC PROCEDURES OR UTILIZING INTRAVENOUS CONSCIOUS SEDATION; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
64,2022-10-14,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM PRESCRIBING SCHEDULE II CONTROLLED SUBSTANCES TO PATIENTS FOR CHRONIC PAIN MANAGEMENT THERAPY BUT CAN PRESCRIBE SCHEDULE II CONTROLLED SUBSTANCES TO TREAT ACUTE PAIN IN A QUANTITY THAT IS MEDICALLY CONSISTENT WITH A FIVE-DAY PRESCRIPTION; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
65,2022-01-14,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM SELF-PRESCRIBING PRESCRIPTION DRUGS/MEDICATIONS; AND PROHIBTED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE.,,left_only
66,2022-07-11,FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES; AND PROHIBITED FROM PRACTICING PSYCHIATRY.,,left_only
67,2022-09-09,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM WRITING, ISSUING OR OTHERWISE AIDING AND ABETTING THE WRITING OR ISSUANCE OF EXEMPTIONS FROM ANY VACCINE FOR ANY PATIENT OR OTHER PERSON; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
68,2022-02-11,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: SHALL NOT ORDER, PRESCRIBE, DISPENSE, ADMINISTER, FURNISH, OR POSSESS SCHEDULE II CONTROLLED SUBSTANCES, AND SHALL NOT ISSUE AN ORAL OR WRITTEN RECOMMENDATION OR APPROVAL TO A PATIENT OR A PATIENT'S PRIMARY CAREGIVER FOR THE POSSESSION OR CULTIVATION OF MARIJUANA FOR THE PERSONAL MEDICAL PURPOSES OF THE PATIENT; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
69,2022-11-11,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS; PROHIBITED FROM ORDERING, PRESCRIBING, DISPENSING, ADMINISTERING, FURNISHING, OR POSSESSING ANY CONTROLLED SUBSTANCES, EXCEPT FOR THOSE DRUGS LISTED IN SCHEDULE V, UNTIL SUCCESSFUL COMPLETION OF A PRESCRIBING PRACTICES COURSE, AND FROM ISSUING AN ORAL OR WRITTEN RECOMMENDATION OR APPROVAL TO POSSESS OR CULTIVATE MARIJUANA; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
70,2022-04-06,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. SHALL HAVE A THIRD-PARTY CHAPERONE PRESENT WHILE CONSULTING, EXAMINING OR TREATING FEMALE PATIENTS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
71,2022-02-25,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. SHALL NOT ORDER, PRESCRIBE, DISPENSE, ADMINISTER, FURNISH, OR POSSESS ANY OPIOID MEDICATIONS EXCEPT FOR BUPRENORPHINE, PROVIDED DR. DYNE MAINTAINS A VALID WAIVER AS A QUALIFIED PRACTITIONER. DURING PROBATION, DR. DYNE IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
72,2022-02-25,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. SHALL NOT ORDER, PRESCRIBE, DISPENSE, ADMINISTER, FURNISH, OR POSSESS ANY SCHEDULE II CONTROLLED SUBSTANCE. DURING PROBATION, DR. CAMHI IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS.",,left_only
73,2022-05-11,"FIVE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. SHALL NOT PRACTICE COSMETIC MEDICINE UNTIL SUCESSFULLY COMPLETING THE CLINICAL COMPETENCE ASSSESSMENT PROGRAM. DURING PROBATION, DR. MILSTEIN IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
74,2022-01-28,"FIVE YEARS' PROBATION TO BE SERVED CONCURRENTLY WITH AND UNDER THE SAME TERMS AND CONDITIONS IN CASE NUMBER 03-2013-234324, WITH ADDITIONAL TERMS AND CONDITIONS.  SHALL NOT ENGAGE IN THE PRACTICE OF MEDICINE UNTIL COMPLETION OF THE CLINICAL DIAGNOSTIC EVALUATION AND NOTFIIED BY THE BOARD OR ITS DESIGNEE THAT DR. APAYDIN IS FIT TO PRACTICE MEDICINE SAFELY (CONDITION MET).",5 YR PROBATION,both
75,2022-11-03,"FOUR YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS AND A 30 DAY ACTUAL SUSPENSION FROM THE PRACTICE OF MEDICINE TO BE COMPLETED BETWEEN JANUARY 1, 2023, AND JANUARY 1, 2024. DURING PROBATION, DR. PURCELL IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
76,2022-10-20,FOUR YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS.,,left_only
77,2022-11-10,"FOUR YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. BEAUCLAIR IS PROHIBITED FROM SUPERVISING ADVANCED PRACTICE NURSES.",,left_only
78,2022-01-06,"FOUR YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. IBRAHIM IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
79,2022-09-09,"FOUR YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. KHAN IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS.",,left_only
