,Date,Disciplinary Action,Conviction,_merge
357,2022-06-20,"SEVEN YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: SHALL NOT PRESCRIBE, DISPENSE, ADMINISTER, FURNISH, OR POSSESS ANY CONTROLLED SUBSTANCES; SHALL NOT ISSUE AN ORAL OR WRITTEN RECOMMENDATION OR APPROVAL TO A PATIENT OR A CAREGIVER FOR THE POSSESSION OR CULTIVATION OF MARIJUANA FOR PERSONAL MEDICAL PURPOSES; SHALL NOT PRACTICE UNTIL PROVIDING DOCUMENTARY PROOF TO THE BOARD THAT DEA PERMIT HAS BEEN SURRENDERED FOR CANCELLATION; PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS.",7 YR PROBATION,both
358,2022-05-31,SURRENDER OF LICENSE,,left_only
359,2022-06-21,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
360,2022-09-22,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
361,2022-03-03,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
362,2022-01-03,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
363,2022-06-24,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
364,2022-01-31,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
365,2022-02-01,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
366,2022-06-07,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
367,2022-09-09,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
368,2022-04-04,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
369,2022-02-15,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
370,2022-04-15,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
371,2022-06-15,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
372,2022-03-15,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
373,2022-04-01,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
374,2022-09-01,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
375,2022-10-18,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
376,2022-05-12,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
377,2022-01-14,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
378,2022-01-01,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
379,2022-02-01,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
380,2022-06-16,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
381,2022-08-26,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
382,2022-01-14,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
383,2022-08-03,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
384,2022-02-11,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
385,2022-02-02,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
386,2022-09-14,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
387,2022-10-18,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
388,2022-09-01,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
389,2022-03-30,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
390,2022-05-02,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
391,2022-04-21,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
392,2022-12-13,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
393,2022-10-04,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
394,2022-03-02,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
395,2022-06-29,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
396,2022-09-14,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
397,2022-12-31,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
398,2022-01-31,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
399,2022-03-16,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
400,2022-12-23,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
401,2022-04-05,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
402,2022-09-14,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
403,2022-08-03,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
404,2022-05-12,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
405,2022-09-14,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
406,2022-12-13,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
407,2022-12-15,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
408,2022-04-15,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
409,2022-02-24,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
410,2022-10-18,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
411,2022-06-03,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
412,2022-03-30,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
413,2022-08-04,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
414,2022-06-29,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
415,2022-03-16,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
416,2022-12-14,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
417,2022-08-03,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
418,2022-01-31,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
419,2022-09-14,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
420,2022-03-04,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
421,2022-09-20,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
422,2022-06-22,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
423,2022-09-20,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
424,2022-06-23,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
425,2022-11-18,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
426,2022-03-10,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
427,2022-10-20,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
428,2022-05-12,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
429,2022-10-21,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
430,2022-04-21,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
431,2022-05-12,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
432,2022-01-13,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
433,2022-08-15,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
434,2022-03-11,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
435,2022-02-02,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
436,2022-02-03,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
437,2022-09-14,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
438,2022-12-30,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
439,2022-05-20,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
440,2022-06-21,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
441,2022-03-10,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
442,2022-09-14,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
443,2022-07-20,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
444,2022-08-19,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
445,2022-08-04,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
446,2022-06-01,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
447,2022-12-27,SURRENDER OF LICENSE.,SURRENDER OF LICENSE,both
448,2022-04-14,SUSPENDED-NO PRACTICE PURSUANT TO SECTION 2310(A) OF THE BUSINESS AND PROFESSIONS CODE. BASED ON SUSPENSION OR REVOCATION IN ANOTHER STATE,,left_only
449,2022-03-15,SUSPENDED-NO PRACTICE PURSUANT TO SECTION 2310(A) OF THE BUSINESS AND PROFESSIONS CODE. BASED ON SUSPENSION OR REVOCATION IN ANOTHER STATE.,SUSPENSION,both
450,2022-10-07,TEN YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS AND A 90 DAY SUSPENSION. SUSPENSION BEGINS ON 10/07/2022 UNTIL 01/05/2023. RESTRICTIONS: PROHIBITED FROM PERFORMING AND/OR PARTICIPATING IN VASER LIPOSUCTION SURGERIES/PROCEDURES UNTIL COMPLETION OF A CLINICAL COMPETENCE ASSESSMENT PROGRAM (CONDITION SATISFIED); AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,10 YR PROBATION,both
451,2022-01-14,"THIRTY-FIVE (35) MONTHS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. YEH IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
452,2022-08-17,THIRTY-FIVE MONTHS PROBATION WITH VARIOUS TERMS AND CONDITIONS.,,left_only
453,2022-11-03,THIRTY-FIVE MONTHS PROBATION WITH VARIOUS TERMS AND CONDITIONS.,,left_only
454,2022-06-17,THIRTY-FIVE MONTHS PROBATION WITH VARIOUS TERMS AND CONDITIONS.,,left_only
455,2022-04-01,"THIRTY-FIVE MONTHS PROBATION WITH VARIOUS TERMS AND CONDITIONS. CANNOT ENGAGE IN THE PRACTICE OF MEDICINE UNTIL COMPLETION OF THE CLINICAL DIAGNOSTIC EVALUATION (CONDITION SATISFIED). DURING PROBATION, DR. DESAI IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
456,2022-09-16,"THIRTY-FIVE MONTHS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. CHANG IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS OR ADVANCED PRACTICE NURSES.",,left_only
457,2022-10-14,"THIRTY-FIVE MONTHS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. MAGIMBI IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
458,2022-05-11,"THIRTY-FIVE MONTHS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. PATINO IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
459,2022-01-06,"THIRTY-FIVE MONTHS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. SUMARTO IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
460,2022-10-14,THIRTY-FIVE MONTHS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM PERFORMING ANY PROCEDURES REQUIRING ANY FORM OF SEDATION IN A NON-ACCREDITED SURGERY CENTER; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
461,2022-04-06,"THIRTY-FIVE MONTHS PROBATION WITH VARIOUS TERMS AND CONDITONS. DURING PROBATION, DR. RINE IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",35 MONTH PROBATION,both
462,2022-04-22,THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS.,,left_only
463,2022-09-16,THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS.,,left_only
464,2022-10-14,THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS.,,left_only
465,2022-04-07,THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS.,,left_only
466,2022-07-27,THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DR. MALEK IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
467,2022-09-30,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. BEESLEY IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
468,2022-10-03,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. BEYRER IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
469,2022-01-14,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. BHANDARI IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
470,2022-04-08,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. CHAPPELL IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
471,2022-09-28,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. DHALIWAL IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
472,2022-09-16,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. DOBKIN IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS.",,left_only
473,2022-09-09,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. HODGSON IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
474,2022-10-07,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. KLASSEN IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
475,2022-04-15,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. LARDON IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
476,2022-01-28,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. LEE IS PROHBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE.",,left_only
477,2022-11-17,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. LEE IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
478,2022-01-06,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. LIPSHITZ IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
479,2022-03-18,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. MCCALLION IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
480,2022-05-27,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. NASIR IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
481,2022-10-28,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. NGUYEN IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
482,2022-01-07,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. NIELSEN IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
483,2022-04-20,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. ROSETE IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
484,2022-11-10,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. TOUSARKISSIAN IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
485,2022-02-25,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. WILLIAMS IS PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE.",,left_only
486,2022-09-30,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: CANNOT ORDER, PRESCRIBE, DISPENSE, ADMINISTER, FURNISH, OR POSSESS ANY CONTROLLED SUBSTANCES UNTIL COMPLETION OF A PRESCRIBING PRACTICES COURSE; SHALL NOT ISSUE AN ORAL OR WRITTEN RECOMMENDATION OR APPROVAL TO POSSESS OR CULTIVATE MARIJUANA. PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
487,2022-09-29,THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
488,2022-01-20,THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; PROHIBITED FROM PERFORMING ANY VASCULAR PROCEDURE THAT INVOLVES THE USE OF CONTRAST DYE ON A PATIENT WITH A HISTORY OF RENAL FAILURE OR RENAL INSUFFICIENCY WITHOUT A PRIOR CONSULTATION WITH A NEPHROLOGY SPECIALIST; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
489,2022-04-14,THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM HOLDING ANY OWNERSHIP INTEREST IN A MEDICAL OFFICE OR CLINIC; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
490,2022-09-30,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ISSUING, RENEWING, OR EXTENDING ANY MEDICAL VACCINE EXEMPTIONS; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
491,2022-10-14,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ORDERING, PRESCRIBING, DISPENSING, ADMINISTERING, FURNISHING, OR POSSESSING ANY CONTROLLED SUBSTANCES AND FROM ISSUING AN ORAL OR WRITTEN RECOMMENDATION OR APPROVAL TO POSSESS OR CULTIVATE MARIJUANA UNTIL SUCCESSFUL COMPLETION OF A CLINICAL COMPETENCE ASSESSMENT PROGRAM; PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; PROHIBITED FROM PROVIDING TREATMENT TO DR. KIM?S FAMILY MEMBERS OR EMPLOYEES, EXCEPT TO DR. KIM?S FATHER IN EMERGENCY SITUATIONS ONLY  ; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS OR ADVANCED PRACTICE NURSES.",,left_only
492,2022-10-13,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM ORDERING, PRESCRIBING, DISPENSING, ADMINISTERING, FURNISHING, OR POSSESSING ANY CONTROLLED SUBSTANCES EXCEPT FOR THOSE DRUGS LISTED IN SCHEDULE IV AND V, AND FROM ISSUING AN ORAL OR WRITTEN RECOMMENDATION OR APPROVAL TO POSSESS OR CULTIVATE MARIJUANA; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
493,2022-10-06,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM PRESCRIBING, DISPENSING, ADMINISTERING, FURNISHING, OR POSSESSING ANY CONTROLLED SUBSTANCES EXCEPT FOR THOSE DRUGS  LISTED IN SCHEDULE V UNTIL COMPLETION OF A PRESCRIBING PRACTICES COURSE (CONDITION SATISFIED), AND FROM ISSUING AN ORAL OR WRITTEN RECOMMENDATION OR APPROVAL TO POSSESS OR CULTIVATE MARIJUANA; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
494,2022-08-26,THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM UTILIZING VASER TECHNOLOGY WHILE PERFORMING LIPOSUCTION PROCEDURES; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.,,left_only
495,2022-03-24,"THREE YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM WRITING, ISSUING OR OTHERWISE AIDING AND ABETTING THE WRITING OR ISSUANCE OF EXEMPTIONS FROM ANY VACCINE FOR ANY PATIENT OR OTHER PERSONS; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
496,2022-08-12,"THREE YEARS' PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: CANNOT ORDER, PRESCRIBE, DISPENSE, ADMINISTER, FURNISH, OR POSSESS ANY CONTROLLED SUBSTANCES UNTIL COMPLETING A PRESCRIBING PRACTICES COURSE (CONDITION SATISFIED); AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",3 YR PROBATION,both
497,2022-10-03,"TWO YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. LAO IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
498,2022-10-07,"TWO YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. DURING PROBATION, DR. MAMO IS PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
499,2022-09-23,"TWO YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. EFFECTIVE 09/23/2022, CASE NO. 8002018047615 WILL RUN CONSECUTIVE TO AND SUPERSEDE THE TERMS OF PROBATION IN CASE NO. 8002017031593. RESTRICTIONS: PROHIBITED FROM ENGAGING IN THE SOLO PRACTICE OF MEDICINE; AND PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
500,2022-06-24,"TWO YEARS PROBATION WITH VARIOUS TERMS AND CONDITIONS. RESTRICTIONS: PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES; PROHIBITED FROM ENGAGING IN THE PRACTICE OF MEDICINE IN DR. SAIFY?S OR PATIENT?S PLACE OF RESIDENCE, UNLESS THE PATIENT RESIDES IN A SKILLED NURSING FACILITY OR OTHER SIMILAR LICENSED FACILITY.",2 YR PROBATION,both
501,2022-04-11,"TWO YEARS' PROBATION WITH VARIOUS TERMS AND CONDITIONS, AND SHALL RUN CONSECUTIVE TO, AND SHALL TAKE EFFECT IMMEDIATELY UPON COMPLETION OF THE PROBATIONARY ORDER IN CASE NO. 800-2016-022245. RESTRICTIONS:  PROHIBITED FROM SUPERVISING PHYSICIAN ASSISTANTS AND ADVANCED PRACTICE NURSES.",,left_only
